username,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02
Pap-G,2963,2967,2967,2967,2971,2971,2971,2971,2971,2971,2971,2971,2971,2974
ilqar_7474,2867,2867,2867,2867,2867,2867,2867,2876,2876,2876,2876,2876,2876,2876
DrawDenied_Twitch,2810,2829,2834,2830,2830,2830,2834,2834,2834,2834,2836,2836,2836,2836
BILLYS10,2701,2701,2727,2735,2735,2772,2762,2777,2801,2801,2801,2801,2801,2801
Tuzakli_Egitim,2785,2785,2785,2785,2785,2785,2785,2790,2790,2790,2790,2790,2790,2790
Just_No_Fun,2795,2795,2795,2795,2795,2795,2795,2795,2795,2780,2785,2785,2787,2787
yuuki-asuna,2777,2777,2777,2777,2777,2777,2777,2777,2767,2767,2767,2767,2767,2767
BiletskiyDanylo,2718,2728,2728,2728,2734,2753,2753,2758,2758,2759,2759,2759,2755,2755
chessmem,2743,2743,2743,2743,2745,2746,2746,2746,2746,2746,2746,2747,2747,2747
Sharkfang,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2734
